City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,isangel,-19.55,169.2667,70.09,76,87,13.78,VU,1628244513
287,big rapids,43.6981,-85.4837,67.64,84,90,5.75,US,1628244517
288,andenes,69.3143,16.1194,61.47,82,0,8.05,NO,1628244520
289,letterkenny,54.95,-7.7333,64.29,97,100,0.69,IE,1628244524
290,anzio,41.4853,12.6179,88.02,52,2,8.16,IT,1628244530
291,uspenka,48.3903,39.1619,89.78,31,49,18.34,UA,1628244534
292,balabac,7.9868,117.0645,84.9,74,19,7.92,PH,1628244537
293,nanortalik,60.1432,-45.2371,47.01,94,96,9.44,GL,1628244540
294,vostok,46.4856,135.8833,69.3,92,96,0.96,RU,1628244544
295,mandalgovi,45.7625,106.2708,80.96,20,80,10.09,MN,1628244547
296,kano,12.0001,8.5167,84.96,56,42,11.36,NG,1628244551
297,adrar,20.5022,-10.0711,97.14,17,21,20.69,MR,1628244554
298,puerto escondido,15.85,-97.0667,76.32,83,100,4.45,MX,1628244557
299,tadine,-21.55,167.8833,67.08,63,100,13.04,NC,1628244561
300,impfondo,1.6381,18.0667,80.89,73,99,2.21,CG,1628244564
301,north bend,43.4065,-124.2243,61.86,100,90,3.44,US,1628244567
302,surt,31.2089,16.5887,97.16,27,0,5.97,LY,1628244571
303,chardara,41.2547,67.9692,97.66,16,0,8.14,KZ,1628244574
304,manzanillo,20.3433,-77.1167,74.55,92,53,5.59,CU,1628244578
305,sambava,-14.2667,50.1667,76.01,63,59,15.21,MG,1628244584
306,taoudenni,22.6783,-3.9836,102.94,24,46,23.91,ML,1628244588
307,souillac,-20.5167,57.5167,74.35,70,55,9.84,MU,1628244591
308,maxixe,-23.8597,35.3472,80.02,40,0,5.86,MZ,1628244594
309,hualmay,-11.0964,-77.6139,61.07,88,42,9.69,PE,1628244598
310,jiangyou,31.7667,104.7167,88.97,50,23,3.36,CN,1628244601
311,lapi,17.716,121.8978,86.47,73,99,2.1,PH,1628244606
312,panguna,-6.3164,155.4848,68.05,96,100,2.42,PG,1628244609
313,asau,46.4333,26.4,84.4,44,99,12.71,RO,1628244613
314,puerto ayacucho,5.6639,-67.6236,70.48,96,84,2.73,VE,1628244616
315,weymouth,42.2209,-70.9398,66.34,96,20,0.0,US,1628244619
316,virginia beach,36.8529,-75.978,68.02,80,1,0.0,US,1628244623
317,divnomorskoye,44.5011,38.1353,85.42,65,59,6.53,RU,1628244626
318,santa maria,-29.6842,-53.8069,55.02,87,98,3.71,BR,1628244630
319,port pirie,-33.1833,138.0167,55.49,63,100,0.85,AU,1628244633
320,jaguarari,-10.2639,-40.1958,61.95,93,100,9.62,BR,1628244640
321,shelabolikha,53.4131,82.6167,74.66,53,73,4.7,RU,1628244643
322,khasan,42.4308,130.6434,76.48,82,100,4.61,RU,1628244653
323,rocha,-34.4833,-54.3333,55.22,91,58,9.75,UY,1628244663
324,port elizabeth,-33.918,25.5701,66.09,76,37,8.1,ZA,1628244666
325,oktyabrskiy,54.4815,53.471,78.73,39,58,8.77,RU,1628244670
326,alofi,-19.0595,-169.9187,74.3,73,9,6.93,NU,1628244673
327,dukhovshchina,55.1919,32.4111,62.44,98,100,9.22,RU,1628244676
328,salalah,17.0151,54.0924,84.29,79,75,12.66,OM,1628244424
329,zyryanka,65.75,150.85,53.29,66,100,5.41,RU,1628244683
330,madimba,-10.4,40.3333,82.56,52,11,11.97,TZ,1628244686
331,doka,13.5167,35.7667,84.61,55,100,6.11,SD,1628244690
332,rypefjord,70.6333,23.6667,61.27,67,0,10.36,NO,1628244693
333,abu samrah,35.3029,37.1841,101.46,15,96,11.05,SY,1628244696
334,baykit,61.67,96.37,82.02,32,13,7.83,RU,1628244700
335,baruun-urt,46.6806,113.2792,79.59,37,48,5.88,MN,1628244703
336,artyshta,54.1222,86.2909,62.37,87,99,7.38,RU,1628244707
337,port hope,43.9408,-82.7127,69.96,82,36,3.44,US,1628244710
338,itarema,-2.9248,-39.9167,77.85,67,24,14.45,BR,1628244714
339,port hawkesbury,45.6169,-61.3485,75.58,99,90,3.0,CA,1628244717
340,kasungu,-13.0333,33.4833,79.7,30,0,6.91,MW,1628244720
341,ketchikan,55.3422,-131.6461,55.87,100,90,6.91,US,1628244724
342,tilichiki,60.4667,166.1,47.34,83,80,10.36,RU,1628244727
343,kruisfontein,-34.0033,24.7314,63.88,78,91,7.78,ZA,1628244730
344,flin flon,54.7682,-101.865,56.7,90,77,2.95,CA,1628244734
345,fortuna,40.5982,-124.1573,60.48,74,90,1.01,US,1628244737
346,rosario,-32.9468,-60.6393,55.94,94,0,1.99,AR,1628244741
